job_title,company_name,company_location,work_method,post_date,no_of_applicants,work_time,no_of_employees,industry,job_desc
Director-Data Science,American Express,"Singapore, Singapore",On-site,3 weeks ago,62 applicants,Full-time · Mid-Senior level,201-500 employees,Staffing and Recruiting,"About the job
You Lead the Way. We’ve Got Your Back.

With the right backing, people and businesses have the power to progress in incredible ways. When you join Team Amex, you become part of a global and diverse community of colleagues with an unwavering commitment to back our customers, communities and each other. Here, you’ll learn and grow as we help you create a career journey that’s unique and meaningful to you with benefits, programs, and flexibility that support you personally and professionally.

At American Express, you’ll be recognized for your contributions, leadership, and impact—every colleague has the opportunity to share in the company’s success. Together, we’ll win as a team, striving to uphold our company values and powerful backing promise to provide the world’s best customer experience every day. And we’ll do it with the utmost integrity, and in an environment where everyone is seen, heard and feels like they belong.

You Lead the Way. We’ve Got Your Back. With the right backing, people and businesses have the power to progress in incredible ways. When you join Team Amex, you become part of a global and diverse community of colleagues with an unwavering commitment to back our customers, communities and each other. Here, you’ll learn and grow as we help you create a career journey that’s unique and meaningful to you with benefits, programs, and flexibility that support you personally and professionally. At American Express, you’ll be recognized for your contributions, leadership, and impact—every colleague has the opportunity to share in the company’s success. Together, we’ll win as a team, striving to uphold our company values and powerful backing promise to provide the world’s best customer experience every day. And we’ll do it with the utmost integrity, and in an environment where everyone is seen, heard and feels like they belong. Join Team Amex and let’s lead the way together.

Functional Description

Apply your analytical skills to define the future of how we serve our customers. How we serve our customers is consistently evolving and is a challenge we gladly accept. Whether you are finding new ways to prevent identity fraud or enabling customers to start a new business, you can work with one of the most valuable data sets in the world to identify insights and actions that have a significant impact on our customers and our business. And, with opportunities to learn from leaders who have defined the course of our industry, you can grow your career and define your own path. Find your place in risk and analytics in #teamamex.

The Credit and Fraud Risk Team of American Express is looking for a Director to lead and develop a team with varied strengths of hard-working risk professionals to build, implement and enhance predictive models that enable better new account underwriting decisions for consumer portfolios at American Express.

Responsibilities
Developing and leading machine learning models for new account underwriting, and interacting with business partners to integrate models with business decisions
Planning and delivering of hard-working models, meeting agreed deadlines and ensuring accurate, efficient implementation of models in production systems
Performing annual reviews, performance monitoring reviews, retrains and remediation activity on models as required
Ensuring all deliveries conform to AXP’s Model Risk Governance Framework and regulatory requirements and producing structured and clear documentation
Learning industry developments and standard processes, conducting research and development to incorporate best in class modelling methodologies and share with the team

Qualifications
Excellent analytical skills helping to develop and implement predictive machine learning models on large data sets in Hadoop environments using tools such as Hive, Python, and SQL
Strong people leader and teammate with a demonstrated ability to develop team members and create highly effective and results-driven culture
Strong relationship management and proven track record of positively collaborating and partnering with stakeholders
Two or more years of experience in credit, fraud or compliance risk management practices in a Financial Services company
Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations."
"Senior Officer, Data Engineer, Group Banking Technology",UOB,"Singapore, Singapore",On-site,2 weeks ago,15 applicants,Contract · Mid-Senior level,201-500 employees,Staffing and Recruiting,"About the job
About UOB

United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices.

Our history spans more than 80 years. Over this time, we have been guided by our values — Honorable, Enterprising, United and Committed. This means we always strive to do what is right, build for the future, work as one team and pursue long-term success. It is how we work, consistently, be it towards the company, our colleagues or our customers.

About The Department

The Technology and Operations function is comprised of five teams of specialists with distinct capabilities: business partnership, technology, operations, risk governance and planning support and services. We work closely together to harness the power of technology to support our physical and digital banking services and operations. This includes developing, centralising and standardising technology systems as well as banking operations in Singapore and overseas branches.

Job Responsibilities
Take end-to-end development ownership for one or more modules and deliver to production
Understand functional requirements / user stories and come up with effective solutions by breaking down into meaningful tasks
Participate as a member of agile team and deliver high quality software
Manage multiple projects at the same time
Guide and support other members of the team, including temporary staff to perform effectively in their role
Communicate with other stakeholders like other project teams, infrastructure & security teams as required and manage dependencies
Understand and follow UOB software delivery process & deliverables, ensure process compliance
Create a network with other departments and teams, to know about strategic issues and new developments
Understand long terms strategic plans for the department and support towards the same
Possess personal courage to do what is right and work as a team member to meet customer expectations
Continuously prioritize technical debt for the team and ensure they are taken care in project releases
Participate in sprint meetings (planning, review) and estimate stories, breakdown to tasks
Prepare for sprint demos and demonstrate to Product Owner, receive feedback and implement
Exhibit good attention to detail and enthusiasm to take ownership

Job Requirements
Degree in Computer Science or related discipline
Strong knowledge and experience building Apache Kafka applications
Strong working experience with Java, Spring Boot and API (Microservices)
Experience building data pipelines with Apache NiFi in production scale
Experience building data streaming applications using Apache Spark and Kafka Streams
Experience working with a variety of data sources and sinks (API, MQ, Files, Databases, Hot lakes, Big data systems etc.)
Experience with both SQL and NoSQL databases (like MariaDB, Oracle, MongoDB) and Object-Relational Mapping (ORM) frameworks (e.g. Hibernate)
Experience with CI/CD practices and tools (Bitbucket, Jenkins, Artifactory, Veracode etc.) to build pipelines
Familiarity with Agile development methodologies
Experience with software design and development in a test-driven environment
Experience tuning Kafka and NiFi components for varying traffic and performance requirements
Ability to learn new programming languages and technologies
Excellent communication skills to interact within and outside the team

Be a part of UOB Family

UOB is an equal opportunity employer. UOB does not discriminate on the basis of a candidate's age, race, gender, color, religion, sexual orientation, physical or mental disability, or other non-merit factors. All employment decisions at UOB are based on business needs, job requirements and qualifications. If you require any assistance or accommodations to be made for the recruitment process, please inform us when you submit your online application.

Apply now and make a difference."
Senior QA Engineer,Binance,"Singapore, Singapore",On-site,1 week ago,4 applicants,Full-time · Entry level,See how you compare to 4 applicants. Try Premium for free,IT Services and IT Consulting,"About the job
Binance is the global blockchain company behind the world’s largest digital asset exchange by trading volume and users, serving a greater mission to accelerate cryptocurrency adoption and increase the freedom of money.

Are you looking to be a part of the most influential company in the blockchain industry and contribute to the crypto-currency revolution that is changing the world?

Responsibilities

Review requirements, specifications and technical design documents to provide timely and meaningful feedback
Create detailed, comprehensive and well-structured test plans and test cases
Estimate, prioritise, plan and coordinate testing activities
Design, develop and execute automation scripts using internal automation framework and system
Identify, record, document thoroughly and track bugs
Perform thorough regression testing when bugs are resolved
Develop and apply testing processes for new and existing products to meet client needs
Liaise with internal teams, i.e. developers and product managers to identify
Monitor debugging process results
Track quality assurance metrics, like defect densities and open defect counts
Stay up-to-date with new testing tools and test strategies

Requirements

At least 8+ years of working experience performing software-related testing, with proven experience in Web 2/Web3/Fintech industry
Hands-on experience with both white box and black box testing
Web/Mobile Full-stack testings, including 2+ years of automated testing experience
Experience in writing clear, concise and comprehensive test plans and test cases
Familiar with at least one scripting language- Python, Ruby, or Java
Solid knowledge of SQL and scripting
Experience in working in an Agile/Scrum development process
Has interest & talent on product analysis hacking mindset
Basic or Fluent English level
Preferably someone from APAC timezone
BS Degree in Computer Science, Engineering or related subject
Bonus: Experience in performance or security testing, automation framework design and implementation

Working at Binance

Do something meaningful; Be a part of the future of finance technology and the no.1 company in the industry
Fast moving, challenging and unique business problems
International work environment and flat organisation
Great career development opportunities in a growing company
Possibility for relocation and international transfers mid-career
Competitive salary
Flexible working hours, Casual work attire

By submitting a job application, you confirm that you have read and agree to our Candidate Privacy Notice ."
Technology Risk - Security Incident Response Team - Associate,Goldman Sachs,"Singapore, Singapore",On-site,1 week ago,17 applicants,Full-time · Entry level,11-50 employees,"Technology, Information and Internet","About the job
Job Description

In this role, you will be a full time Vice President/Associate as an Information Security and Cybersecurity professional with experience in security event investigation and incident response. It requires broad understanding of the firm’s Information Security/Cybersecurity policies and controls as well as an ability to coordinate incident response across all technology platforms.

The ideal candidate should have effective leadership skills in managing risk and cyber threats for the firm by engaging with teams across different Divisions and working with regional and global teams within Technology Risk to detect and respond to cyber threats. A candidate with a background in regulatory environments in Asia Pacific jurisdictions, information/cyber security, and the financial services sector is an added advantage.

Job Responsibilities
Investigate, coordinate and address information security and Cybersecurity incidents
Act as liaison for global team in coordinating collection and preservation of forensic evidence in support of security event investigation.
Analyze potential infrastructure security incidents to determine if incident qualifies as a legitimate security breach.
Advise on leading edge engineering to protect Goldman Sachs’ network from security risks related to web, mobile, web services, and client/server architectures.
Collaborate with the global team to continually operate and improve a world-class cyber program by providing input into the uplift of sensory tools, detection tuning, and access to data sources to increase detection effectiveness.
Drive the adoption and uplift of global security programs throughout the Asia Pacific region
Convey complicated technical analysis to senior management via investigation synopses, graphical depictions of attacks, and comprehensive presentations.
Act as a liaison to senior business leaders, including those outside of the Engineering Division, during security investigations and incidentsRespond to regulatory requests regarding security incidents, as well as the relevant protective and detective security measures.
Report the status of ongoing incidents, as well as the follow-up actions for resolved incidents, to regional and global management
Support Compliance, regulatory, or litigation related investigations by coordinating e-discovery, evidence collection and other such activities.
Participate in a global rota coverage model to prevent and remediate security threats against Goldman Sachs’ global business network.
Basic Qualifications
Bachelor degree or higher
Chinese language (written and spoken such as Mandarin) is an advantage
Clear English communication skills, both verbally and in writing
Strong analytical, interpersonal, problem solving, organizational and time management skills
Excellent influencing skills at all levels and the ability to develop and maintain good relationships
Strong sense of ownership and accountability, driven to manage tasks to completion
Ability to communicate status, risks, and technical details in a succinct, direct and open manner to both technical and non-technical audiences
Ability to engage in deep technical discussions with other Engineering groups, as well as ability to convey the same concepts and issues at a high level to senior management
Excellent presentation skills
Experience working in a distributed team with expectation for rapid escalation of issues and risks
The ability to manage multi-task effectively and interact in a matrixed organization is essential
Experience working in Information security / Cybersecurity from a sizeable multinational organization
Work effectively both independently and as part of a team, self-motivated and deadline driven
Preferred Qualifications
Graduate degree in Computer Science, System/Computer Engineering, Cyber-Security, or Information Security is preferred. Bachelors of Science/Arts in Forensic Computing, System/Computer Engineering, Data Science, Engineering, Operations Research, or Decision Science will be also considered.
Coursework or experience in computer science, computer security, computer networking, system design, system integration, software development, emerging technologies, open source frameworks, encryption schemes, and application testing/penetration testing/reviews preferred.
Industry Certifications such as CISSP or GIAC Cyber Defense, Penetration Testing, or Incident Response and Forensics-related certification"
"Risk Services - Digital Services, Business Analyst - Senior Manager / Manager",PwC Singapore,"Singapore, Singapore",On-site,5 days ago,123 applicants,Full-time · Mid-Senior level,11-50 employees,Real Estate,"About the job
Line of Service

Assurance

Industry/Sector

FS X-Sector

Specialism

Conduct and Compliance

Management Level

Manager

Job Description & Summary

We believe that challenges are better solved together. That's why you'll join a diverse, global community of solvers - an unexpected mix of people that come together to build trust in society and solve important problems. With us, you are encouraged to lead with your heart and values, and where your unique skills are developed and put to work in unexpected and exciting ways, superpowered by technology.

Our Risk Services Practice provides an invaluable safeguard in today’s complex operating environment with insights and independent assurance. We work with clients to deliver business control to help them to protect and strengthen every aspect of their business from people to performance, systems to strategy, business plans to business resilience. We help clients manage, mitigate and control risks from potential cybersecurity breaches to possible breaks in the supply chain. We assess and prepare businesses by looking into their technology, finance, data analytics, regulatory requirements, data security and privacy, internal audit, and the third parties our clients rely on, to help clients deliver quality results and meet their strategic objectives.

Specific Responsibilities Include But Are Not Limited To

As a Senior Manager / Manager, you’ll work as part of a team of subject matter experts and extensive industry experience to assist with helping client in project implementation and solving complex business issues from strategy to execution.
Gather and document user requirements/user stories through deep dive sessions with end users, including performing gap assessment from data analysis session, user experience and system architecture perspective
Communicate user requirements to, and work closely with, the system analyst, system developer and/or external system vendor
Provide user acceptance and/or system integration testing strategy, and test cases in the area of works
Perform user acceptance and/or system integration testing
Manage defects to ensure critical issues are resolved before rolling out to production
Interacting with other support functions across the bank such as Finance, Risk, Operations, Compliance, etc
Familiar with system development lifecycle, agile and waterfall methodology
About You
At least 5 years of experience in financial services industry, technology and solution design experience, to support financial services in the implementation of digital initiatives.
Good in stakeholder management, able to work with team that has diverse background, dynamic
Willing to learn new technology such as Robotic Process Automation, Artificial Intelligence, Machine Learnings etc.
Experienced with local regulatory implementation is a plus
Attention to details and possess an enquiring mind-set
Good verbal and written communication skill in English
Professional, confident and highly motivated self-starter, with an ability to handle multiple engagements/projects in a fast pace environment
Demonstrate strategic and creative thinking, problem solving, and taking initiative.
Positive attitude to learn and strong team player
Possess strong values, personal integrity and emotional intelligence
Able to work under pressure and tight deadlines
Additional experience in project management would be favourably considered.
#Mid-Senior

Education (if blank, degree and/or field of study not specified)

Degrees/Field Of Study Required

Degrees/Field of Study preferred:

Certifications (if blank, certifications not specified)

Required Skills

Optional Skills

Desired Languages (If blank, desired languages not specified)

Travel Requirements

Not Specified

Available for Work Visa Sponsorship?

Yes

Government Clearance Required?

No

Job Posting End Date"
C / C++ Developer,Percept Solutions,"Singapore, Singapore",Hybrid,2 weeks ago,1 applicant,Full-time · Entry level,See recent hiring trends for DELIVERY HERO (SINGAPORE) PTE. LTD.. Try Premium for free,Banking,"About the job
Job Description

The Job scope includes software analysis, software design, code implementation, software integration, module verification, and validation

You will be responsible for the quality and on-time delivery of your work-products throughout the software development lifecycles

Job Requirements

Degree/Masters in Computer Science/Engineering, preferably with specialization or related experience in development of graphical user interface for embedded devices.

Strong understanding of Object-Oriented Analysis and Design (OOAD)

Excellent/Strong programming skills in C/C++/C#

Experience in XML design and implementation

Experience with software configuration management tools/version control tools

Analysis And Design Experience Using UML Preferred

EA License No: 18S9405 Reg No: R1330864

Skills & Competencies

C,C++"
Project Manager (Data Centre/Hi-Tech) – 6 months secondment,Currie & Brown,"Singapore, Singapore",Hybrid,2 weeks ago,35 applicants,Full-time · Associate,"1,001-5,000 employees",Chemical Manufacturing,"About the job
Currie & Brown is currently looking for a project manager with construction consultancy experience based in Singapore. This individual will be bringing knowledge and experience ideally in data center or hi-tech sector. This role is an initial of six-month secondment opportunity.


The successful candidates will contribute to project management assignments for Currie & Brown’s client, including managing client relationships, delivering high-quality services and assisting with financial management. This role requires motivated, skilled and experienced individuals with exceptional leadership skills.



Responsibilities for the successful candidates will include:
Working autonomously and as part of a team to deliver project tasks
Working within Currie & Brown guidelines and the PM toolkit to manage projects in accordance with contractual requirements
Planning and delivering construction projects from concept to completion
Preparing or assisting in the preparation of site assessments, due diligence reports, cost reports, project control group reports, construction reports and completion reports
Managing internal and external project stakeholders, consultants and contractors
Managing design development, co-ordination, reviews and approvals during planning and construction phases
Undertaking procurement management, including review of trade tender packages
Appointing and managing contractors while maintaining probity requirements
Handling contract administration including evaluation of progress claims, variations, extensions of time and completing documentation
Monitoring and managing completion activities including commissioning, handover, take-over and defects
Preparing project programmes and monitoring projects in line with those programmes developed by a contractor and approved by the client
Monitoring project costs in line with the approved budget
Monitoring and reporting on actual performance compared with the programme
Liaising with local authorities as required to ensure that the works are authorised as the project progresses
Ensuring monitoring, reporting and compliance with occupational health and safety regulations
Ensuring that a system of quality assurance is in place to ensure the production of the highest quality of work in design, construction and administration
Continually seeking and capitalising upon opportunities to increase client satisfaction and deepen client relationships


Requirements:
Degree in a construction or engineering-related discipline such as construction management, project management, mechanical or civil engineering
A minimum of 3 years’ experience in data centre/high-tech sectors
New build/greenfield construction experience
Experience leading a multidisciplinary team of consultants
Confidence in client reporting and chairing of meetings
Understanding of technical services and the build-up of a data centre
Understanding of basic statutory regulations and processes associated with data centre construction



Currie & Brown is one of the world’s leading physical assets management and construction consultancies, dedicated to advising clients in respect of the management and utilisation of their physical assets, and is differentiated by innovation, expertise and experience.


With principal offices in Dubai, Hong Kong, London, Mumbai, New York and Shanghai, we operate throughout the Americas, Asia Pacific, Europe, India and the Middle East."
Blockchain Developer,BlockchainStaffingNinja,Singapore,On-site,1 week ago,7 applicants,Full-time · Entry level,51-200 employees,Computer and Network Security,"About the job
Job Description: Blockchain Staffing Ninja is seeking a Senior Blockchain Developer for a opportunity with a Fintech client located in Singapore.


Responsibilities:
• Collaborating with managers to determine blockchain technology needs and envisaged functionalities
• Creating application features and interfaces by using programming languages and writing multithreaded codes
• Applying the latest cryptology techniques to protect digital transaction data against cyberattacks and information hacks
• Maintaining client and server-side applications
• Optimizing and securing blockchain applications by integrating new tools and technologies
• Educating sales personnel on blockchain features that allow secure digital payments
• Documenting blockchain development processes and complying with best practices in data protection
• Keeping up with current blockchain technologies and cryptography methods.

Requirements:
• At least 4+ years of experience as a blockchain developer
• Advanced proficiency in programming languages, such as C++, Java, and Python
• Extensive experience in back-end development, algorithms, and data structures
• Knowledge of cryptography and blockchain protocols
• In-depth knowledge of best practices in blockchain management and data protection
• Advanced analytical and problem-solving skills
• Superb organizational skills and keen attention to detail
• Excellent communication and collaboration abilities
* Strong engineer who is excited about working on green field Web3 projects"
Software Engineer in Test,Capgemini,"Singapore, Singapore",Hybrid,1 week ago,7 applicants,Full-time · Entry level,11-50 employees,Information Technology & Services,"About the job
Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of over 340,000 team members in more than 50 countries. With its strong 55-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. The Group reported in 2021 global revenues of €18 billion.

We have an opening for an Engineer - SDET who wants to gain valuable experience and exposure in a hyper-growth technology consulting environment in Singapore.

Responsibilities :-
We are seeking a technically strong candidate to join the team as a SDET Lead who will work closely with other Engineers, Architects, and DevOps engineers to help us deliver quality software in a reliable and predictable manner using test automation. You will be a technical mentor for your team members. You will work closely with your peers, managers, product, design and operations teams to deliver solutions that meet business requirements.

Define and implement end to end test strategy and test automation for Bank’s major initiatives
Provide technical leadership and guidance to both team members and project peers
Champion engineering excellence, establishing metrics and process for regular assessment and improvement
Problem-solving skills and the abilities to analyse quantitatively, understand product technical requirements and effectively translate to testing deliverables.
Participation in all Scrum meetings and rituals
Help teams and stakeholders write appropriate test criteria for each user story during sprint planning meetings
Collaborate with developers to write automated unit tests prior to writing feature code.
Facilitate and encourage testing with end users.
Coach and mentoring ADA application teams on agile testing and test automation.
Device the test environment strategy for ADA
Manage and govern the ADA test environments
Define and manage test data for various initiatives

Requirements
5-8 years of experience in leading the testing on large complex projects/programmes as a lead or hands-on manager
Hands-on experience with agile methodology and Strong technical knowledge – able to code
Significant hands-on experience in solution design in the development of automated tests leveraging Java using BDD tools such Cucumber
Experience automating testing in multiple technologies –Mobile, Web, Microservices,
Experience automating through the UI, API and web services
Understanding of Web fundamentals (HTTP, REST, JSON etc.), 2 tier/3 tier architectures.
Mobile applications testing and automation (native applications, mobile browsers, remote devices)
Understanding of Microservices architecture and Stubbing (good if he/she has knowledge of spring frameworks and wire mock)
Understanding of Message Queues, Kafka – how to test
Building and maintenance of Automation Frameworks (or at least understand the package structure and different aspects of it)
Excellent knowledge of Data models, database queries and knowledge of RDBMS/NoSQL platforms.
Code versioning and build/deploy tools, CI/CD e.g. git, Jenkins etc.
Technologies like Ansible, Containers, Kubernetes etc. is a plus.
Possess excellent verbal and written communication skills.

To apply for this position, kindly submit your updated resume to avish.sidhwani@capgemini.com

Let's talk about what's in it for you!

Passionate people are Capgemini's Ace of Spades - join us to discover a career that will challenge, support and inspire you. Working at Capgemini you'll find the rewards are more than just financial. You will work alongside some very smart and inspiring people on exciting projects and you will also enjoy incredible benefits. We offer flexible work practices and 40 hours of self-development every year with a huge selection of learning opportunities to choose from.

As ""Architects of Positive Futures"", Capgemini actively supports the community in 3 ways:

Diversity and Inclusion - we believe diversity of thought fuels excellence and innovation, which is why we positively encourage applications from suitably qualified candidates regardless of their gender identity, ethnicity, sexual orientation, religion, ability, intersex status or age. To support our commitment to diversity and inclusion, we celebrate special events and days of significance that are important to our employees such as Diwali, Bastille Day, Pride, IDAHOBIT, IWD and International day of people with Disabilities. Our Employee Resource Groups Women@Capgemini and OutFront support the grassroots passion of employees to drive our diversity agenda and effect change.

Digital inclusion - at Capgemini we are using our skills to drive social impact initiatives focusing on helping society address the impact of the digital and automation revolution. We also provide employees with opportunities to give back to the community through charity projects and volunteer days.

Environmental Sustainability - Capgemini joined the CDP's (Carbon Disclosure Project) prestigious ""A list"" for its commitment to the Net-Zero economy. We are focusing on helping our clients transform towards more sustainable business models and committing to reduce our own carbon emissions (GHG) by 20% per employee by 2020.

Recognized by Ethisphere as one of the World's Most Ethical Companies for the last 8 years in a row, ethics and values are at the heart of Capgemini's corporate culture and business. Embedded in our DNA, our seven values - Honesty, Boldness, Trust, Team Spirit, Freedom, Fun and Modesty - have remained the same since company inception in 1967. To see how we bring these values to life, click here to listen to some of our employee’s stories.

Come join us, bring your whole self to work, create new possibilities for you, your customers and your community and help us to be Architects of Positive Futures."
Technical Consultant,Oracle,"Singapore, Singapore",On-site,1 week ago,91 applicants,Full-time · Entry level,51-200 employees,Gambling Facilities and Casinos,"About the job
Primary Skill Sets
Skilled in Java & Java Scripting.
Design, implement and maintain Java-based applications that can be high-volume and low-latency.
Good understanding on Microservice architecture.
Skilled in PL/SQL
Hands on experience on WebLogic Server.
Hands on experience with source control tools like GIT.
Design technical solutions and develop design documents.
Strong communicator and be able to drive independent workshops.
Experience in managing large project implementation
Experience in leading a team for implementation
From 3 to 5 years of relevant experience - level offering will be based on relevant experience and qualification


Additional Information:
Will handling in the technical domestic payment projects in APAC countries like Singapore, Philippines, Vietnam, Myanmar, etc.
Exposure in Flexcube Core Banking."
Professional Officer (Accountancy),Singapore Institute of Technology,"Singapore, Singapore",On-site,4 weeks ago,15 applicants,Full-time · Entry level,11-50 employees,Telecommunications,"About the job
Key Responsibilities
Design and teach labs & practice modules
Mentor students in Capstone Projects and the Integrated Work Study Programme (IWSP)
Lead or co-lead innovation projects with industry
Manage labs and equipment to support academic programmes and applied research
Ensure safety in labs

Job Requirements
A good degree in Accountancy or related field. Masters, PhD and/or relevant professional certifications would be advantageous.
Preferably 8 or more years of accumulative working experience in accounting/auditing, business domain or related area.
Experience in handling audit and accounting issues. IT savvy and familiar with digital tools used in accounting/auditing domain.
Extensive experience and knowledge of industry practices to bring industry perspective to SIT.
Keen interest in innovation projects, with demonstrated ability in developing solutions to technical problems.
Enjoy working closely with students in an educational environment.
Demonstrate proficiency to keep abreast of development in the field and pursue professional certification programs. Possess industrial certifications in relevant areas will be an added advantage."
Software Engineer (Software Architecture),SATO Global Business Services Pte. Ltd.,"Singapore, Singapore",On-site,2 weeks ago,17 applicants,Contract · Associate,11-50 employees,Food and Beverage Services,"About the job
This job is sourced from a job board. Learn more
Job Responsibilities
Collaborate with various stakeholders to determine software requirements
Create & manage product specifications and design documents
Guide and assist the development team throughout the process
Troubleshoot and resolve issues related to design
Present regular progress reports and setting goals
Work closely with QA Engineer to test the final product to ensure it is completely functional and meets requirements as per the development schedules and deadlines
Update software solutions as required
Job Requirements
Minimum Diploma in Computer Science / Information Technology or equivalent
3-5 years in software development and project management
Prepare Software product specifications and design documents
Excellent organizational and leadership abilities
Knowledge of architectural styles and design patterns
Proven experience in engineering and software architecture design and patterns
Highly analytical mindset, with an ability to see both the big picture and the details

Desired Skills and Experience
Communication, Xamarin, iOS, Analytical Skills, Software Project Management, Software Engineering, Information Technology, Software Design, Product specifications, Programming, Android, Software Development"
Information Technology - Senior Data Sciences & Analytics Engineer (Machine Learning Track),Singapore Airlines,"Singapore, Singapore",On-site,1 week ago,126 applicants,Full-time · Director,"10,001+ employees","Technology, Information and Internet","About the job
Job Description

SIA has multiple positions for machine learning/deep learning experts to drive our AI and data science initiatives.

Key Responsibilities
Member of the in-house AI Center-of-Excellence team that works on challenging problems in machine learning (including areas on NLP, computer vision, recommender system, transfer learning and reinforcement learning), mathematical optimization, game theory, and experimental design.
Research and develop statistical machine learning and deep learning algorithms to meet complex product requirements. The scope includes defining hypotheses, executing necessary tests and experiments; evaluating, tuning and optimizing algorithms and methods; and having an eye towards cloud implementation ease, scalability, and robustness in a live customer-facing production environment.
Provide technical direction and guidance to a small and highly skilled team of junior and senior data scientists embedded in Kanban data squads. These squads deliver products/services in AI, data science and data analytics to stakeholders in a large number of business units. Serve as a go-to expert in your area of ML/DL expertise.
Work closely with business stakeholders to create impactful and intelligent features/products. Collaborate with other team members including data scientists, data engineers and data strategists. Strategic ownership of all critical end-to-end AI processes.
Administer/maintain performant cloud and on-premises GPU compute resources that train large ML models and provide inference microservices in production.
Requirements
PhD degree related to computer science, advanced machine learning or other AI disciplines is required. Consideration will be given to exceptional candidates without advanced degrees.
Advanced programming skills in Python. Strong technical skills in algorithm design/analysis, data structure and SQL. Intermediate-level mastery of functional/object-oriented software development using modern programming languages such as Scala, JavaScript, Java and C#.
At least 3 years of relevant industry experience in two or more of the following areas:
Expert-level hands-on skills in shallow and deep machine learning. Highly conversant with GPU-accelerated deep learning frameworks (such as TensorFlow and PyTorch).
Demonstrated ability in rapidly adapting, training and deploying state-of-the-art AI models in production based on the latest published research papers and code.
Knowledge and working experience in workflow, map-reduce or stream processing systems such as Spark and Kafka.
Strong skills in Bayesian statistics and inference. Comfortable with the application of Bayesian and causal networks for probabilistic reasoning.
Significant hands-on experience with AWS, GCP or similar public cloud environment.
Excellent mentoring, interpersonal and communication skills for working with both technical staff and non-technical business users.
Demonstrated intellectual firepower as a rapid problem-solver and tech lead.
Experience with Agile/Scrum/Kanban methodologies is a plus."
Data Team Lead,Storm2,"Singapore, Singapore",Remote,1 week ago,14 applicants,Full-time · Mid-Senior level,"1,001-5,000 employees",Staffing and Recruiting,"About the job
⚡ Lead Data Engineer
📍 Singapore
💼 Permanent role
💵 Competitive Salary

⚡About the Company:
My client is a leading FinTech payments company with a global presence, covering merchants from all parts of the world!🗺

They are looking for a Lead Data Engineer 👀 to join their fast-growing APAC team and this a great opportunity to be part of the growing and booming FinTech industry!💥 You are someone who loves problem-solving and possess in-depth knowledge of data technologies and programming languages.🕵️‍♂️

🚩Responsibilities:
Design, implement and maintain data architecture and infrastructure for a large-scale data pipeline
Collaborate with data scientists, analysts and software engineers to understand implement data requirements
Develop data governance, security and compliance policies
Lead a team of data engineers to build data pipelines, data sets and data storage solutions

🚩Requirements:
Strong experience in data pipeline and data storage technologies such as Hadoop, Spark, SQL and etc.
Experience with data warehousing and ETL processes
Experience in Python and Tensorflow framework
Experience with cloud computing platforms such as AWS, GCP and etc.

🌎 Singapore

📧 Interested in applying? Please click on the ‘Easy Apply’ button

📣 We would love to hear from you if this is something you could be interested in. Please click on the “Easy Apply” button at the top of this page and follow the instructions to send us your application. If you do have any extra requirements to support your application, then please just add a note along with your CV to let us know.

⚡ Storm2 is a specialist FinTech recruitment firm with clients across Europe, APAC and North America. To discuss open opportunities or career options, please visit our website at storm2.com and follow the Storm2 LinkedIn page for the latest jobs and intel."
